payment_id,amount_paise,virtual_account,payer_name,narration,method,created_at
PAY-0008,17164000,RZPVA000008,Deccan Industries,NEFT/Deccan Industries/INV-0008 SETTLEMENT,UPI,2026-06-23 14:13:00
PAY-0007,6474200,RZPVA000007,Windward Textiles,NEFT/Windward Textiles/INV-0007 SETTLEMENT,UPI,2026-06-24 12:55:00
PAY-0006,2565600,RZPVA000006,Orbit Solutions,NEFT/Orbit Solutions/INV-0006 SETTLEMENT,UPI,2026-06-25 18:12:00
PAY-0005,22716500,RZPVA000005,Coastal Industries,NEFT/Coastal Industries/INV-0005 SETTLEMENT,UPI,2026-06-26 09:46:00
PAY-0004,9419400,RZPVA000004,Acme Logistics,NEFT/Acme Logistics/INV-0004 SETTLEMENT,UPI,2026-06-27 14:06:00
PAY-0003,5712400,RZPVA000003,Quartz Exports,NEFT/Quartz Exports/INV-0003 SETTLEMENT,IMPS,2026-06-28 18:17:00
PAY-0002,11560400,RZPVA000002,Yashika Solutions,NEFT/Yashika Solutions/INV-0002 SETTLEMENT,NEFT,2026-06-29 12:14:00
PAY-0001,7709700,RZPVA000001,Udaan Textiles,NEFT/Udaan Textiles/INV-0001 SETTLEMENT,RTGS,2026-06-30 10:43:00
PAY-0026,16520009,RZPVA000026,Orbit Foods,RTGS/Orbit Foods/INV-0026 NET OF TDS DEDUCTION,IMPS,2026-07-09 13:13:00
PAY-0051,4614500,UNKNOWNVA006,Vertex Textiles,NEFT/UNMAPPED TRANSFER,UPI,2026-07-09 15:20:00
PAY-0058,996500,RZPVA000040,Everest Traders,NEFT/Everest Traders PART PAYMENT 1,IMPS,2026-07-10 12:58:00
PAY-0054,438900,RZPVA000039,Ganges Solutions,NEFT/Ganges Solutions PART PAYMENT 1,NEFT,2026-07-10 13:14:00
PAY-0050,7314600,UNKNOWNVA005,Ridge Enterprises,NEFT/UNMAPPED TRANSFER,UPI,2026-07-10 14:39:00
PAY-0025,12511057,RZPVA000025,Nimbus Retail,RTGS/Nimbus Retail/INV-0025 NET OF TDS DEDUCTION,RTGS,2026-07-10 15:16:00
PAY-0024,16975500,RZPVA000024,Horizon Textiles,RTGS/Horizon Textiles/INV-0024 NET OF TDS DEDUCTION,NEFT,2026-07-11 12:10:00
PAY-0014,13236597,RZPVA000014,Coastal Industries,UPI/Coastal Industries/INV-0014,NEFT,2026-07-11 14:07:00
PAY-0049,7203300,UNKNOWNVA004,Deccan Industries,NEFT/UNMAPPED TRANSFER,RTGS,2026-07-11 15:00:00
PAY-0055,764900,RZPVA000039,Ganges Solutions,NEFT/Ganges Solutions PART PAYMENT 2,RTGS,2026-07-12 09:15:00
PAY-0044,17164000,RZPVA000008,Deccan Industries,NEFT/Deccan Industries/INV-0008 DUPLICATE RETRY,RTGS,2026-07-12 09:54:00
PAY-0020,9968622,RZPVA000020,Udaan Traders,NEFT/Udaan Traders/INV-0020 PART PAYMENT,UPI,2026-07-12 12:17:00
PAY-0023,7569503,RZPVA000023,Kavya Textiles,RTGS/Kavya Textiles/INV-0023 NET OF TDS DEDUCTION,RTGS,2026-07-12 13:29:00
PAY-0013,2233254,RZPVA000013,Everest Solutions,UPI/Everest Solutions/INV-0013,RTGS,2026-07-12 15:38:00
PAY-0048,3979500,UNKNOWNVA003,Bluepeak Textiles,NEFT/UNMAPPED TRANSFER,IMPS,2026-07-12 15:38:00
PAY-0059,658500,RZPVA000040,Everest Traders,NEFT/Everest Traders PART PAYMENT 2,NEFT,2026-07-12 16:42:00
PAY-0019,3651576,RZPVA000019,Quartz Retail,NEFT/Quartz Retail/INV-0019 PART PAYMENT,NEFT,2026-07-13 10:45:00
PAY-0043,6474200,RZPVA000007,Windward Textiles,NEFT/Windward Textiles/INV-0007 DUPLICATE RETRY,RTGS,2026-07-13 12:17:00
PAY-0047,4158500,UNKNOWNVA002,Lotus Solutions,NEFT/UNMAPPED TRANSFER,IMPS,2026-07-13 13:11:00
PAY-0034,4574900,RZPVA000034,Everest Foods,IMPS/Everest Foods/INV0036,UPI,2026-07-13 13:32:00
PAY-0012,4652169,RZPVA000012,Udaan Retail,UPI/Udaan Retail/INV-0012,UPI,2026-07-13 14:14:00
PAY-0022,13115122,RZPVA000022,Vertex Industries,RTGS/Vertex Industries/INV-0022 NET OF TDS DEDUCTION,NEFT,2026-07-13 15:46:00
PAY-0021,6058296,RZPVA000021,Vertex Retail,RTGS/Vertex Retail/INV-0021 NET OF TDS DEDUCTION,IMPS,2026-07-14 10:06:00
PAY-0046,810100,UNKNOWNVA001,Vertex Enterprises,NEFT/UNMAPPED TRANSFER,IMPS,2026-07-14 10:49:00
PAY-0033,8430300,RZPVA000033,Falcon Retail,IMPS/Falcon Retail/INV-0035X,NEFT,2026-07-14 10:56:00
PAY-0018,4035853,RZPVA000018,Coastal Solutions,NEFT/Coastal Solutions/INV-0018 PART PAYMENT,RTGS,2026-07-14 14:28:00
PAY-0042,2565600,RZPVA000006,Orbit Solutions,NEFT/Orbit Solutions/INV-0006 DUPLICATE RETRY,RTGS,2026-07-14 15:01:00
PAY-0011,19778305,RZPVA000011,Indus Textiles,UPI/Indus Textiles/INV-0011,RTGS,2026-07-14 15:56:00
PAY-0056,1144500,RZPVA000039,Ganges Solutions,NEFT/Ganges Solutions PART PAYMENT 3,IMPS,2026-07-14 16:26:00
PAY-0060,588100,RZPVA000040,Everest Traders,NEFT/Everest Traders PART PAYMENT 3,UPI,2026-07-14 18:52:00
PAY-0045,6669400,UNKNOWNVA000,Horizon Enterprises,NEFT/UNMAPPED TRANSFER,IMPS,2026-07-15 12:14:00
PAY-0041,22716500,RZPVA000005,Coastal Industries,NEFT/Coastal Industries/INV-0005 DUPLICATE RETRY,IMPS,2026-07-15 12:55:00
PAY-0032,9649000,RZPVA000032,Ganges Solutions,IMPS/Ganges Solutions/INV-O034,NEFT,2026-07-15 14:18:00
PAY-0010,9497085,RZPVA000010,Indus Solutions,UPI/Indus Solutions/INV-0010,RTGS,2026-07-15 14:25:00
PAY-0017,3775539,RZPVA000017,Pallavi Traders,NEFT/Pallavi Traders/INV-0017 PART PAYMENT,NEFT,2026-07-15 16:52:00
PAY-0031,2401600,RZPVA000031,Everest Foods,IMPS/Everest Foods/INV-003,NEFT,2026-07-16 10:34:00
PAY-0040,9419400,RZPVA000004,Acme Logistics,NEFT/Acme Logistics/INV-0004 DUPLICATE RETRY,RTGS,2026-07-16 14:49:00
PAY-0057,849100,RZPVA000039,Ganges Solutions,NEFT/Ganges Solutions PART PAYMENT 4,RTGS,2026-07-16 15:15:00
PAY-0009,2861670,RZPVA000009,Vertex Foods,UPI/Vertex Foods/INV-0009,RTGS,2026-07-16 16:24:00
PAY-0016,9219817,RZPVA000016,Deccan Foods,NEFT/Deccan Foods/INV-0016 PART PAYMENT,RTGS,2026-07-16 18:20:00
PAY-0028,5453100,RZPVA000028,Quartz Solutions,UPI/Quartz Solutions BULK SETTLEMENT,RTGS,2026-07-17 10:43:00
PAY-0030,7335800,RZPVA000030,Saffron Exports,IMPS/Saffron Exports/inv-0032,RTGS,2026-07-17 13:25:00
PAY-0039,5712400,RZPVA000003,Quartz Exports,NEFT/Quartz Exports/INV-0003 DUPLICATE RETRY,UPI,2026-07-17 14:13:00
PAY-0053,7634600,RZPVA000038,Acme Foods,NEFT/Acme Foods SETTLEMENT,UPI,2026-07-17 16:43:00
PAY-0015,2598651,RZPVA000015,Jaipur Industries,NEFT/Jaipur Industries/INV-0015 PART PAYMENT,UPI,2026-07-17 17:58:00
PAY-0038,11560400,RZPVA000002,Yashika Solutions,NEFT/Yashika Solutions/INV-0002 DUPLICATE RETRY,RTGS,2026-07-18 09:19:00
PAY-0036,7291200,RZPVA000036,Kavya Logistics,NEFT/Kavya Logistics PAYMENT RECEIVED,IMPS,2026-07-18 10:04:00
PAY-0052,4514400,RZPVA000037,Meridian Foods,NEFT/Meridian Foods SETTLEMENT,IMPS,2026-07-18 15:35:00
PAY-0029,6954300,RZPVA000029,Horizon Industries,IMPS/Horizon Industries/INV0031,NEFT,2026-07-18 15:42:00
PAY-0027,6901300,RZPVA000027,Bluepeak Exports,NEFT/Bluepeak Exports/SETTLEMENT FOR INV-0027 & INV-0028,UPI,2026-07-18 18:30:00
PAY-0035,2709700,RZPVA000035,Pallavi Foods,NEFT/Pallavi Foods PAYMENT RECEIVED,IMPS,2026-07-19 09:00:00
PAY-0037,7709700,RZPVA000001,Udaan Textiles,NEFT/Udaan Textiles/INV-0001 DUPLICATE RETRY,RTGS,2026-07-19 14:37:00
